Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
02/08/2023 17:00,10603,60,2,Northbound,2,NorthEast,3,Checked
02/08/2023 18:00,10603,60,1,Southbound,1,SouthWest,0,Checked
02/08/2023 18:00,10603,60,2,Northbound,2,NorthEast,1,Checked
02/08/2023 19:00,10603,60,1,Southbound,1,SouthWest,0,Checked
02/08/2023 19:00,10603,60,2,Northbound,2,NorthEast,5,Checked
02/08/2023 20:00,10603,60,1,Southbound,1,SouthWest,0,Checked
02/08/2023 20:00,10603,60,2,Northbound,2,NorthEast,2,Checked
02/08/2023 21:00,10603,60,1,Southbound,1,SouthWest,0,Checked
02/08/2023 21:00,10603,60,2,Northbound,2,NorthEast,0,Checked
02/08/2023 22:00,10603,60,1,Southbound,1,SouthWest,1,Checked
02/08/2023 22:00,10603,60,2,Northbound,2,NorthEast,1,Checked
02/08/2023 23:00,10603,60,1,Southbound,1,SouthWest,0,Checked
02/08/2023 23:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 00:00,10603,60,1,Southbound,1,SouthWest,0,Checked
03/08/2023 00:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 01:00,10603,60,1,Southbound,1,SouthWest,0,Checked
03/08/2023 01:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 02:00,10603,60,1,Southbound,1,SouthWest,0,Checked
03/08/2023 02:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 03:00,10603,60,1,Southbound,1,SouthWest,0,Checked
03/08/2023 03:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 04:00,10603,60,1,Southbound,1,SouthWest,0,Checked
03/08/2023 04:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 05:00,10603,60,1,Southbound,1,SouthWest,0,Checked
03/08/2023 05:00,10603,60,2,Northbound,2,NorthEast,0,Checked
03/08/2023 06:00,10603,60,1,Southbound,1,SouthWest,4,Checked
03/08/2023 06:00,10603,60,2,Northbound,2,NorthEast,2,Checked
03/08/2023 07:00,10603,60,1,Southbound,1,SouthWest,0,Checked
