id,name,Capacity,Access,Bicycle_parking,Covered,nodeId,latitude,longitude,iconUrl
cycleparking-w860919207,Un-named place of interest,5,yes,stands,yes,0,53.6828,-1.50506,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w860919208,Un-named place of interest,5,yes,stands,yes,0,53.68276,-1.50513,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w860919209,Un-named place of interest,5,yes,stands,yes,0,53.68284,-1.505,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320875,Un-named bicycle_parking,5,,,yes,1039320875,53.71574,-1.51071,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n384951496,Un-named bicycle_parking,4,,lockers,,384951496,53.67344,-1.69298,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1124793810,Beck Retail Park,5,yes,stands,no,1124793810,53.6776,-1.49478,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1124793893,Beck Retail Park,8,yes,stands,no,1124793893,53.67754,-1.49502,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320829,Un-named bicycle_parking,4,,stands,no,1039320829,53.68322,-1.49476,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320834,Un-named bicycle_parking,3,yes,stands,no,1039320834,53.68461,-1.50212,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320841,Un-named bicycle_parking,6,,stands,no,1039320841,53.68446,-1.49949,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320873,Un-named bicycle_parking,4,,,,1039320873,53.68406,-1.50131,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320877,Un-named bicycle_parking,2,,,,1039320877,53.68273,-1.49466,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320881,Un-named bicycle_parking,6,,stands,no,1039320881,53.68231,-1.50017,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320908,Un-named bicycle_parking,5,,,,1039320908,53.68377,-1.50037,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n1039320822,Un-named bicycle_parking,5,,,yes,1039320822,53.67886,-1.48906,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n698846561,Sandal Castle,8,customers,stands,yes,698846561,53.6584,-1.4892,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w368251095,Un-named place of interest,14,,lockers,,0,53.89217,-1.73554,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w295232117,Un-named place of interest,10,customers,lockers,yes,0,53.8999,-1.94468,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n631656356,Un-named bicycle_parking,,,,,631656356,53.84679,-1.82906,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
