Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
01/11/2023 00:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 00:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 01:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 01:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 02:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 02:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 03:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 03:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 04:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 04:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 05:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 05:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 06:00,80151,60,1,Eastbound,1,East,1,Checked
01/11/2023 06:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 07:00,80151,60,1,Eastbound,1,East,4,Checked
01/11/2023 07:00,80151,60,2,Westbound,2,West,2,Checked
01/11/2023 08:00,80151,60,1,Eastbound,1,East,4,Checked
01/11/2023 08:00,80151,60,2,Westbound,2,West,4,Checked
01/11/2023 09:00,80151,60,1,Eastbound,1,East,6,"Estimate,Checked"
01/11/2023 09:00,80151,60,2,Westbound,2,West,5,"Estimate,Checked"
01/11/2023 10:00,80151,60,1,Eastbound,1,East,8,Checked
01/11/2023 10:00,80151,60,2,Westbound,2,West,7,Checked
01/11/2023 11:00,80151,60,1,Eastbound,1,East,2,Checked
01/11/2023 11:00,80151,60,2,Westbound,2,West,10,Checked
01/11/2023 12:00,80151,60,1,Eastbound,1,East,6,Checked
01/11/2023 12:00,80151,60,2,Westbound,2,West,5,Checked
01/11/2023 13:00,80151,60,1,Eastbound,1,East,6,Checked
01/11/2023 13:00,80151,60,2,Westbound,2,West,10,Checked
01/11/2023 14:00,80151,60,1,Eastbound,1,East,6,Checked
01/11/2023 14:00,80151,60,2,Westbound,2,West,7,Checked
01/11/2023 15:00,80151,60,1,Eastbound,1,East,11,Checked
01/11/2023 15:00,80151,60,2,Westbound,2,West,4,Checked
01/11/2023 16:00,80151,60,1,Eastbound,1,East,3,Checked
01/11/2023 16:00,80151,60,2,Westbound,2,West,5,Checked
01/11/2023 17:00,80151,60,1,Eastbound,1,East,2,Checked
01/11/2023 17:00,80151,60,2,Westbound,2,West,6,Checked
01/11/2023 18:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 18:00,80151,60,2,Westbound,2,West,1,Checked
01/11/2023 19:00,80151,60,1,Eastbound,1,East,1,Checked
01/11/2023 19:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 20:00,80151,60,1,Eastbound,1,East,1,Checked
01/11/2023 20:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 21:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 21:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 22:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 22:00,80151,60,2,Westbound,2,West,0,Checked
01/11/2023 23:00,80151,60,1,Eastbound,1,East,0,Checked
01/11/2023 23:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 00:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 00:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 01:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 01:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 02:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 02:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 03:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 03:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 04:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 04:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 05:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 05:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 06:00,80151,60,1,Eastbound,1,East,1,Checked
02/11/2023 06:00,80151,60,2,Westbound,2,West,1,Checked
02/11/2023 07:00,80151,60,1,Eastbound,1,East,1,Checked
02/11/2023 07:00,80151,60,2,Westbound,2,West,3,Checked
02/11/2023 08:00,80151,60,1,Eastbound,1,East,3,Checked
02/11/2023 08:00,80151,60,2,Westbound,2,West,4,Checked
02/11/2023 09:00,80151,60,1,Eastbound,1,East,4,Checked
02/11/2023 09:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 10:00,80151,60,1,Eastbound,1,East,1,Checked
02/11/2023 10:00,80151,60,2,Westbound,2,West,1,Checked
02/11/2023 11:00,80151,60,1,Eastbound,1,East,2,Checked
02/11/2023 11:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 12:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 12:00,80151,60,2,Westbound,2,West,1,Checked
02/11/2023 13:00,80151,60,1,Eastbound,1,East,3,Checked
02/11/2023 13:00,80151,60,2,Westbound,2,West,6,Checked
02/11/2023 14:00,80151,60,1,Eastbound,1,East,3,Checked
02/11/2023 14:00,80151,60,2,Westbound,2,West,3,Checked
02/11/2023 15:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 15:00,80151,60,2,Westbound,2,West,7,Checked
02/11/2023 16:00,80151,60,1,Eastbound,1,East,6,Checked
02/11/2023 16:00,80151,60,2,Westbound,2,West,1,Checked
02/11/2023 17:00,80151,60,1,Eastbound,1,East,6,Checked
02/11/2023 17:00,80151,60,2,Westbound,2,West,3,Checked
02/11/2023 18:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 18:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 19:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 19:00,80151,60,2,Westbound,2,West,1,Checked
02/11/2023 20:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 20:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 21:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 21:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 22:00,80151,60,1,Eastbound,1,East,1,Checked
02/11/2023 22:00,80151,60,2,Westbound,2,West,0,Checked
02/11/2023 23:00,80151,60,1,Eastbound,1,East,0,Checked
02/11/2023 23:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 00:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 00:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 01:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 01:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 02:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 02:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 03:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 03:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 04:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 04:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 05:00,80151,60,1,Eastbound,1,East,1,Checked
03/11/2023 05:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 06:00,80151,60,1,Eastbound,1,East,1,Checked
03/11/2023 06:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 07:00,80151,60,1,Eastbound,1,East,5,Checked
03/11/2023 07:00,80151,60,2,Westbound,2,West,4,Checked
03/11/2023 08:00,80151,60,1,Eastbound,1,East,2,Checked
03/11/2023 08:00,80151,60,2,Westbound,2,West,5,Checked
03/11/2023 09:00,80151,60,1,Eastbound,1,East,4,Checked
03/11/2023 09:00,80151,60,2,Westbound,2,West,2,Checked
03/11/2023 10:00,80151,60,1,Eastbound,1,East,7,Checked
03/11/2023 10:00,80151,60,2,Westbound,2,West,5,Checked
03/11/2023 11:00,80151,60,1,Eastbound,1,East,9,Checked
03/11/2023 11:00,80151,60,2,Westbound,2,West,10,Checked
03/11/2023 12:00,80151,60,1,Eastbound,1,East,6,Checked
03/11/2023 12:00,80151,60,2,Westbound,2,West,7,Checked
03/11/2023 13:00,80151,60,1,Eastbound,1,East,13,Checked
03/11/2023 13:00,80151,60,2,Westbound,2,West,8,Checked
03/11/2023 14:00,80151,60,1,Eastbound,1,East,4,Checked
03/11/2023 14:00,80151,60,2,Westbound,2,West,4,Checked
03/11/2023 15:00,80151,60,1,Eastbound,1,East,3,Checked
03/11/2023 15:00,80151,60,2,Westbound,2,West,2,Checked
03/11/2023 16:00,80151,60,1,Eastbound,1,East,3,Checked
03/11/2023 16:00,80151,60,2,Westbound,2,West,4,Checked
03/11/2023 17:00,80151,60,1,Eastbound,1,East,5,Checked
03/11/2023 17:00,80151,60,2,Westbound,2,West,6,Checked
03/11/2023 18:00,80151,60,1,Eastbound,1,East,1,Checked
03/11/2023 18:00,80151,60,2,Westbound,2,West,1,Checked
03/11/2023 19:00,80151,60,1,Eastbound,1,East,2,Checked
03/11/2023 19:00,80151,60,2,Westbound,2,West,2,Checked
03/11/2023 20:00,80151,60,1,Eastbound,1,East,1,Checked
03/11/2023 20:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 21:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 21:00,80151,60,2,Westbound,2,West,6,Checked
03/11/2023 22:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 22:00,80151,60,2,Westbound,2,West,0,Checked
03/11/2023 23:00,80151,60,1,Eastbound,1,East,0,Checked
03/11/2023 23:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 00:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 00:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 01:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 01:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 02:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 02:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 03:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 03:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 04:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 04:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 05:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 05:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 06:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 06:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 07:00,80151,60,1,Eastbound,1,East,2,Checked
04/11/2023 07:00,80151,60,2,Westbound,2,West,1,Checked
04/11/2023 08:00,80151,60,1,Eastbound,1,East,2,Checked
04/11/2023 08:00,80151,60,2,Westbound,2,West,3,Checked
04/11/2023 09:00,80151,60,1,Eastbound,1,East,2,Checked
04/11/2023 09:00,80151,60,2,Westbound,2,West,3,Checked
04/11/2023 10:00,80151,60,1,Eastbound,1,East,3,Checked
04/11/2023 10:00,80151,60,2,Westbound,2,West,5,Checked
04/11/2023 11:00,80151,60,1,Eastbound,1,East,6,Checked
04/11/2023 11:00,80151,60,2,Westbound,2,West,2,Checked
04/11/2023 12:00,80151,60,1,Eastbound,1,East,2,Checked
04/11/2023 12:00,80151,60,2,Westbound,2,West,4,Checked
04/11/2023 13:00,80151,60,1,Eastbound,1,East,1,Checked
04/11/2023 13:00,80151,60,2,Westbound,2,West,5,Checked
04/11/2023 14:00,80151,60,1,Eastbound,1,East,6,Checked
04/11/2023 14:00,80151,60,2,Westbound,2,West,4,Checked
04/11/2023 15:00,80151,60,1,Eastbound,1,East,2,Checked
04/11/2023 15:00,80151,60,2,Westbound,2,West,4,Checked
04/11/2023 16:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 16:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 17:00,80151,60,1,Eastbound,1,East,2,Checked
04/11/2023 17:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 18:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 18:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 19:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 19:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 20:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 20:00,80151,60,2,Westbound,2,West,1,Checked
04/11/2023 21:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 21:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 22:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 22:00,80151,60,2,Westbound,2,West,0,Checked
04/11/2023 23:00,80151,60,1,Eastbound,1,East,0,Checked
04/11/2023 23:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 00:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 00:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 01:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 01:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 02:00,80151,60,1,Eastbound,1,East,1,Checked
05/11/2023 02:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 03:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 03:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 04:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 04:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 05:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 05:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 06:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 06:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 07:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 07:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 08:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 08:00,80151,60,2,Westbound,2,West,1,Checked
05/11/2023 09:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 09:00,80151,60,2,Westbound,2,West,8,Checked
05/11/2023 10:00,80151,60,1,Eastbound,1,East,5,Checked
05/11/2023 10:00,80151,60,2,Westbound,2,West,13,Checked
05/11/2023 11:00,80151,60,1,Eastbound,1,East,13,Checked
05/11/2023 11:00,80151,60,2,Westbound,2,West,28,Checked
05/11/2023 12:00,80151,60,1,Eastbound,1,East,18,Checked
05/11/2023 12:00,80151,60,2,Westbound,2,West,8,Checked
05/11/2023 13:00,80151,60,1,Eastbound,1,East,20,Checked
05/11/2023 13:00,80151,60,2,Westbound,2,West,5,Checked
05/11/2023 14:00,80151,60,1,Eastbound,1,East,5,Checked
05/11/2023 14:00,80151,60,2,Westbound,2,West,11,Checked
05/11/2023 15:00,80151,60,1,Eastbound,1,East,13,Checked
05/11/2023 15:00,80151,60,2,Westbound,2,West,10,Checked
05/11/2023 16:00,80151,60,1,Eastbound,1,East,7,Checked
05/11/2023 16:00,80151,60,2,Westbound,2,West,5,Checked
05/11/2023 17:00,80151,60,1,Eastbound,1,East,1,Checked
05/11/2023 17:00,80151,60,2,Westbound,2,West,3,Checked
05/11/2023 18:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 18:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 19:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 19:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 20:00,80151,60,1,Eastbound,1,East,1,Checked
05/11/2023 20:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 21:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 21:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 22:00,80151,60,1,Eastbound,1,East,2,Checked
05/11/2023 22:00,80151,60,2,Westbound,2,West,0,Checked
05/11/2023 23:00,80151,60,1,Eastbound,1,East,0,Checked
05/11/2023 23:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 00:00,80151,60,1,Eastbound,1,East,0,Checked
06/11/2023 00:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 01:00,80151,60,1,Eastbound,1,East,0,Checked
06/11/2023 01:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 02:00,80151,60,1,Eastbound,1,East,0,Checked
06/11/2023 02:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 03:00,80151,60,1,Eastbound,1,East,1,Checked
06/11/2023 03:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 04:00,80151,60,1,Eastbound,1,East,0,Checked
06/11/2023 04:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 05:00,80151,60,1,Eastbound,1,East,0,Checked
06/11/2023 05:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 06:00,80151,60,1,Eastbound,1,East,2,Checked
06/11/2023 06:00,80151,60,2,Westbound,2,West,0,Checked
06/11/2023 07:00,80151,60,1,Eastbound,1,East,10,Checked
06/11/2023 07:00,80151,60,2,Westbound,2,West,5,Checked
06/11/2023 08:00,80151,60,1,Eastbound,1,East,5,Checked
06/11/2023 08:00,80151,60,2,Westbound,2,West,5,Checked
06/11/2023 09:00,80151,60,1,Eastbound,1,East,4,Checked
06/11/2023 09:00,80151,60,2,Westbound,2,West,6,Checked
06/11/2023 10:00,80151,60,1,Eastbound,1,East,1,Checked
06/11/2023 10:00,80151,60,2,Westbound,2,West,2,Checked
06/11/2023 11:00,80151,60,1,Eastbound,1,East,0,Checked
06/11/2023 11:00,80151,60,2,Westbound,2,West,1,Checked
06/11/2023 12:00,80151,60,1,Eastbound,1,East,3,Checked
06/11/2023 12:00,80151,60,2,Westbound,2,West,5,Checked
06/11/2023 13:00,80151,60,1,Eastbound,1,East,6,Checked
06/11/2023 13:00,80151,60,2,Westbound,2,West,6,Checked
06/11/2023 14:00,80151,60,1,Eastbound,1,East,5,Checked
06/11/2023 14:00,80151,60,2,Westbound,2,West,3,Checked
06/11/2023 15:00,80151,60,1,Eastbound,1,East,5,Checked
06/11/2023 15:00,80151,60,2,Westbound,2,West,5,Checked
06/11/2023 16:00,80151,60,1,Eastbound,1,East,5,Checked
06/11/2023 16:00,80151,60,2,Westbound,2,West,7,Checked
06/11/2023 17:00,80151,60,1,Eastbound,1,East,9,Checked
06/11/2023 17:00,80151,60,2,Westbound,2,West,1,Checked
06/11/2023 18:00,80151,60,1,Eastbound,1,East,2,Checked
